"","Station","Year","Month","Air_temp","Division","Lat (degree/min)","Lon (degree/min)","Y","X","Time","Max","Min","Region","Avg","Season","Rain","Humidity"
"3840","Rajshahi",1990,"February","20.2","Rajshahi",24.22,88.42,24.383,88.6,"32905",30.5,9.5,"NWR",20,"Winter",34,76
"3841","Rangamati",1990,"February","22.2","Chittagong",22.38,92.09,22.633,92.2,"32905",30.1,14,"ER",22.05,"Winter",22,71
"3842","Rangpur",1990,"February","19.2","Rangpur",25.44,89.16,25.733,89.233,"32905",27.8,8.4,"NWR",18.1,"Winter",57,76
"3843","Sandwip",1990,"February","22.9","Chittagong",22.29,91.26,22.483,91.417,"32905",30,16,"ER",23,"Winter",54,81
"3844","Satkhira",1990,"February","22.7","Khulna",22.43,89.05,22.717,89.083,"32905",32.3,14.5,"SWR",23.4,"Winter",47,75
"3845","Sitakundu",1990,"February","22.4","Chittagong",22.38,91.42,22.583,91.7,"32905",31,14,"ER",22.5,"Winter",NA,NA
"3846","Srimangal",1990,"February","20.100000000000001","Sylhet",24.18,91.44,24.3,91.73333333,"32905",30.5,10.8,"ER",20.65,"Winter",20,76
"3847","Sydpur",1990,"February",NA,"Rangpur",25.45,88.55,25.75,88.917,"32905",NA,NA,"NWR",NA,"Winter",NA,NA
"3848","Sylhet",1990,"February","20.6","Sylhet",24.54,91.53,24.9,91.883,"32905",31.1,14,"ER",22.55,"Winter",45,72
"3849","Tangail",1990,"February","20.399999999999999","Dhaka",24.15,89.56,24.25,89.933,"32905",29.7,11.5,"CR w/o Dhaka",20.6,"Winter",30,77
"3850","Teknaf",1990,"February","23.5","Chittagong",20.52,92.18,20.417,92.3,"32905",33,15.8,"ER",24.4,"Winter",4,74
"3851","Ambagan(Ctg)",1990,"March",NA,"Chittagong",22.13,91.48,22.35,91.817,"32933",NA,NA,"ER",NA,"Summer",NA,NA
"3852","Barisal",1990,"March","23.5","Barisal",23.43,90.22,22.717,90.367,"32933",33.6,14.5,"SWR",24.05,"Summer",182,82
"3853","Bhola",1990,"March","23.4","Barisal",22.41,90.39,22.683,90.65,"32933",33.5,14.5,"SWR",24,"Summer",155,82
"3854","Bogra",1990,"March","23.1","Rajshahi",24.51,89.22,24.85,89.367,"32933",34.5,13.4,"NWR",23.95,"Summer",24,78
"3855","Chandpur",1990,"March","23.5","Chittagong",23.14,90.42,23.267,90.7,"32933",34.1,14.1,"ER",24.1,"Summer",111,78
"3856","Chittagong (cv/mil)",1990,"March","23.9","Chittagong",22.21,91.49,22.267,91.817,"32933",33.5,16,"ER",24.75,"Summer",53,74
"3857","chuadanga",1990,"March",NA,"Khulna",23.39,88.49,23.65,88.8167,"32933",36.9,14.2,"NWR",25.55,"Summer",NA,NA
"3858","Comilla",1990,"March","22.9","Chittagong",23.26,91.11,23.433,91.183,"32933",34.1,13,"ER",23.55,"Summer",179,81
"3859","Cox`s bazar",1990,"March","24.2","Chittagong",21.27,91.58,21.433,91.967,"32933",31.2,15.5,"ER",23.35,"Summer",NA,NA
"3860","Dhaka/tejgaon (mil)",1990,"March","23.9","Dhaka",23.47,90.23,23.767,90.383,"32933",34.6,15,"Dhaka",24.8,"Summer",151,72
"3861","Dinajpur",1990,"March","22.4","Rangpur",25.39,88.41,25.65,88.683,"32933",34,9.6,"NWR",21.8,"Summer",41,68
"3862","Faridpur",1990,"March","23.6","Dhaka",23.36,89.51,23.617,89.85,"32933",34.7,15.4,"CR w/o Dhaka",25.05,"Summer",227,77
"3863","Feni",1990,"March","23.1","Chittagong",23.02,91.25,23,91.4,"32933",35,14.3,"ER",24.65,"Summer",287,78
"3864","Hatia",1990,"March","23.9","Chittagong",22.27,91.6,22.433,91.1,"32933",35.2,15,"ER",25.1,"Summer",198,79
"3865","Ishurdi",1990,"March","22.8","Khulna",24.09,89.2,24.15,89.033,"32933",35,13,"NWR",24,"Summer",128,75
"3866","Jessore (civ/mil)",1990,"March","23.7","Khulna",23.12,89.2,23.183,89.167,"32933",35.7,14.4,"SWR",25.05,"Summer",173,76
"3867","Khepupara",1990,"March","24.3","Barisal",21.59,90.14,21.983,90.233,"32933",31.8,15.9,"SWR",23.85,"Summer",139,80
"3868","Khulna",1990,"March","23.7","Khulna",22.47,89.32,22.85,89.567,"32933",35,13.5,"SWR",24.25,"Summer",212,79
"3869","Kutubdia",1990,"March","23.9","Chittagong",21.49,91.51,21.81666667,91.85,"32933",31,16,"ER",23.5,"Summer",191,81
"3870","M.court",1990,"March","23.5","Chittagong",22.52,91.6,22.867,92,"32933",33.5,14.4,"ER",23.95,"Summer",266,80
"3871","Madaripur",1990,"March","24.8","Dhaka",23.1,90.11,23.167,90.183,"32933",34.6,14.4,"CR w/o Dhaka",24.5,"Summer",217,75
"3872","Mongla",1990,"March",NA,"Khulna",22.28,89.36,22.467,89.6,"32933",34.3,16.6,"SWR",25.45,"Summer",NA,NA
"3873","Mymensingn",1990,"March","22.6","Dhaka",24.44,90.25,24.717,90.433,"32933",33.7,12.5,"CR w/o Dhaka",23.1,"Summer",NA,NA
"3874","Patuakhali",1990,"March","24.1","Barisal",22.2,90.2,22.33333333,90.33333,"32933",32.6,16,"SWR",24.3,"Summer",161,81
"3875","Rajshahi",1990,"March","23.1","Rajshahi",24.22,88.42,24.383,88.6,"32933",36.4,11.9,"NWR",24.15,"Summer",46,75
"3876","Rangamati",1990,"March","23.1","Chittagong",22.38,92.09,22.633,92.2,"32933",35.1,13.5,"ER",24.3,"Summer",115,73
"3877","Rangpur",1990,"March","22","Rangpur",25.44,89.16,25.733,89.233,"32933",33.5,9.7,"NWR",21.6,"Summer",82,72
"3878","Sandwip",1990,"March","23.7","Chittagong",22.29,91.26,22.483,91.417,"32933",32.1,15.3,"ER",23.7,"Summer",196,81
"3879","Satkhira",1990,"March","24.1","Khulna",22.43,89.05,22.717,89.083,"32933",35.2,15.2,"SWR",25.2,"Summer",150,77
"3880","Sitakundu",1990,"March","23.7","Chittagong",22.38,91.42,22.583,91.7,"32933",34.8,13.8,"ER",24.3,"Summer",NA,NA
"3881","Srimangal",1990,"March","21.7","Sylhet",24.18,91.44,24.3,91.73333333,"32933",35.3,10.4,"ER",22.85,"Summer",185,73
"3882","Sydpur",1990,"March",NA,"Rangpur",25.45,88.55,25.75,88.917,"32933",NA,NA,"NWR",NA,"Summer",NA,NA
"3883","Sylhet",1990,"March","22","Sylhet",24.54,91.53,24.9,91.883,"32933",34.7,12.2,"ER",23.45,"Summer",176,71
"3884","Tangail",1990,"March","22.6","Dhaka",24.15,89.56,24.25,89.933,"32933",33.8,13.7,"CR w/o Dhaka",23.75,"Summer",95,76
"3885","Teknaf",1990,"March","24.3","Chittagong",20.52,92.18,20.417,92.3,"32933",31,17.2,"ER",24.1,"Summer",1,77
"3886","Ambagan(Ctg)",1990,"April",NA,"Chittagong",22.13,91.48,22.35,91.817,"32964",NA,NA,"ER",NA,"Summer",NA,NA
"3887","Barisal",1990,"April","27.5","Barisal",23.43,90.22,22.717,90.367,"32964",34.6,16,"SWR",25.3,"Summer",139,82
"3888","Bhola",1990,"April","27.2","Barisal",22.41,90.39,22.683,90.65,"32964",34.6,16.2,"SWR",25.4,"Summer",118,82
"3889","Bogra",1990,"April","26.5","Rajshahi",24.51,89.22,24.85,89.367,"32964",36,15,"NWR",25.5,"Summer",41,80
"3890","Chandpur",1990,"April","27.1","Chittagong",23.14,90.42,23.267,90.7,"32964",34.6,15.5,"ER",25.05,"Summer",163,78
"3891","Chittagong (cv/mil)",1990,"April","26.7","Chittagong",22.21,91.49,22.267,91.817,"32964",33.2,17.8,"ER",25.5,"Summer",250,77
"3892","chuadanga",1990,"April",NA,"Khulna",23.39,88.49,23.65,88.8167,"32964",39.5,13.5,"NWR",26.5,"Summer",NA,NA
"3893","Comilla",1990,"April","26.4","Chittagong",23.26,91.11,23.433,91.183,"32964",32.6,16.5,"ER",24.55,"Summer",228,84
"3894","Cox`s bazar",1990,"April","27.2","Chittagong",21.27,91.58,21.433,91.967,"32964",33.2,17.8,"ER",25.5,"Summer",NA,NA
"3895","Dhaka/tejgaon (mil)",1990,"April","27.2","Dhaka",23.47,90.23,23.767,90.383,"32964",34.5,15.5,"Dhaka",25,"Summer",154,76
"3896","Dinajpur",1990,"April","25.3","Rangpur",25.39,88.41,25.65,88.683,"32964",35.6,14.6,"NWR",25.1,"Summer",159,76
"3897","Faridpur",1990,"April","27.1","Dhaka",23.36,89.51,23.617,89.85,"32964",35,15,"CR w/o Dhaka",25,"Summer",156,80
"3898","Feni",1990,"April","26.3","Chittagong",23.02,91.25,23,91.4,"32964",33.3,10.5,"ER",21.9,"Summer",213,81
"3899","Hatia",1990,"April","26.8","Chittagong",22.27,91.6,22.433,91.1,"32964",32.2,19,"ER",25.6,"Summer",209,83
"3900","Ishurdi",1990,"April","27.4","Khulna",24.09,89.2,24.15,89.033,"32964",38.7,13,"NWR",25.85,"Summer",157,72
"3901","Jessore (civ/mil)",1990,"April","28.1","Khulna",23.12,89.2,23.183,89.167,"32964",37,14.7,"SWR",25.85,"Summer",25,76
"3902","Khepupara",1990,"April","27.9","Barisal",21.59,90.14,21.983,90.233,"32964",32.8,18,"SWR",25.4,"Summer",99,80
"3903","Khulna",1990,"April","28","Khulna",22.47,89.32,22.85,89.567,"32964",37,15.8,"SWR",26.4,"Summer",58,78
"3904","Kutubdia",1990,"April","26.9","Chittagong",21.49,91.51,21.81666667,91.85,"32964",32.5,18.5,"ER",25.5,"Summer",60,82
"3905","M.court",1990,"April","27.2","Chittagong",22.52,91.6,22.867,92,"32964",33.5,16.7,"ER",25.1,"Summer",235,82
"3906","Madaripur",1990,"April","28.6","Dhaka",23.1,90.11,23.167,90.183,"32964",35.2,15.1,"CR w/o Dhaka",25.15,"Summer",156,74
"3907","Mongla",1990,"April",NA,"Khulna",22.28,89.36,22.467,89.6,"32964",35.2,18.3,"SWR",26.75,"Summer",NA,NA
"3908","Mymensingn",1990,"April","25.4","Dhaka",24.44,90.25,24.717,90.433,"32964",33.6,15.4,"CR w/o Dhaka",24.5,"Summer",NA,NA
"3909","Patuakhali",1990,"April","27.4","Barisal",22.2,90.2,22.33333333,90.33333,"32964",34.8,17.1,"SWR",25.95,"Summer",132,86
"3910","Rajshahi",1990,"April","27.9","Rajshahi",24.22,88.42,24.383,88.6,"32964",39.4,13.8,"NWR",26.6,"Summer",97,70
"3911","Rangamati",1990,"April","26.1","Chittagong",22.38,92.09,22.633,92.2,"32964",34.6,15.9,"ER",25.25,"Summer",336,75
"3912","Rangpur",1990,"April","24.6","Rangpur",25.44,89.16,25.733,89.233,"32964",35,15.2,"NWR",25.1,"Summer",134,79
"3913","Sandwip",1990,"April","27.1","Chittagong",22.29,91.26,22.483,91.417,"32964",31.6,18,"ER",24.8,"Summer",213,83
"3914","Satkhira",1990,"April","28.4","Khulna",22.43,89.05,22.717,89.083,"32964",36.1,15.6,"SWR",25.85,"Summer",25,74
"3915","Sitakundu",1990,"April","26.5","Chittagong",22.38,91.42,22.583,91.7,"32964",33.2,16,"ER",24.6,"Summer",NA,NA
"3916","Srimangal",1990,"April","25.4","Sylhet",24.18,91.44,24.3,91.73333333,"32964",33.8,15,"ER",24.4,"Summer",253,76
"3917","Sydpur",1990,"April",NA,"Rangpur",25.45,88.55,25.75,88.917,"32964",NA,NA,"NWR",NA,"Summer",NA,NA
"3918","Sylhet",1990,"April","23.7","Sylhet",24.54,91.53,24.9,91.883,"32964",32.8,16.2,"ER",24.5,"Summer",574,80
"3919","Tangail",1990,"April","26.4","Dhaka",24.15,89.56,24.25,89.933,"32964",34.7,14.2,"CR w/o Dhaka",24.45,"Summer",223,77
"3920","Teknaf",1990,"April","27.4","Chittagong",20.52,92.18,20.417,92.3,"32964",32.5,18.5,"ER",25.5,"Summer",72,78
"3921","Ambagan(Ctg)",1990,"May",NA,"Chittagong",22.13,91.48,22.35,91.817,"32994",NA,NA,"ER",NA,"Summer",NA,NA
"3922","Barisal",1990,"May","28.3","Barisal",23.43,90.22,22.717,90.367,"32994",35,20.5,"SWR",27.75,"Summer",352,84
"3923","Bhola",1990,"May","28.3","Barisal",22.41,90.39,22.683,90.65,"32994",34.5,21,"SWR",27.75,"Summer",249,85
"3924","Bogra",1990,"May","27.9","Rajshahi",24.51,89.22,24.85,89.367,"32994",36.8,20.2,"NWR",28.5,"Summer",292,81
"3925","Chandpur",1990,"May","28.5","Chittagong",23.14,90.42,23.267,90.7,"32994",34.8,21.8,"ER",28.3,"Summer",189,78
"3926","Chittagong (cv/mil)",1990,"May","28.8","Chittagong",22.21,91.49,22.267,91.817,"32994",33.5,23,"ER",28.25,"Summer",205,78
"3927","chuadanga",1990,"May",NA,"Khulna",23.39,88.49,23.65,88.8167,"32994",36.6,21.4,"NWR",29,"Summer",NA,NA
"3928","Comilla",1990,"May","28","Chittagong",23.26,91.11,23.433,91.183,"32994",35,20.5,"ER",27.75,"Summer",331,83
"3929","Cox`s bazar",1990,"May","28.8","Chittagong",21.27,91.58,21.433,91.967,"32994",34.5,23.2,"ER",28.85,"Summer",NA,NA
"3930","Dhaka/tejgaon (mil)",1990,"May","28.3","Dhaka",23.47,90.23,23.767,90.383,"32994",35.4,20.9,"Dhaka",28.15,"Summer",202,79
"3931","Dinajpur",1990,"May","27.7","Rangpur",25.39,88.41,25.65,88.683,"32994",35,20.8,"NWR",27.9,"Summer",245,80
"3932","Faridpur",1990,"May","28","Dhaka",23.36,89.51,23.617,89.85,"32994",35.5,20.5,"CR w/o Dhaka",28,"Summer",315,82
"3933","Feni",1990,"May","28.1","Chittagong",23.02,91.25,23,91.4,"32994",35.6,21,"ER",28.3,"Summer",485,79
"3934","Hatia",1990,"May","28.8","Chittagong",22.27,91.6,22.433,91.1,"32994",34.5,21.5,"ER",28,"Summer",323,82
"3935","Ishurdi",1990,"May","28","Khulna",24.09,89.2,24.15,89.033,"32994",35.5,18.5,"NWR",27,"Summer",207,80
"3936","Jessore (civ/mil)",1990,"May","28.8","Khulna",23.12,89.2,23.183,89.167,"32994",36.6,21.2,"SWR",28.9,"Summer",162,79
"3937","Khepupara",1990,"May","29.1","Barisal",21.59,90.14,21.983,90.233,"32994",35,21.5,"SWR",28.25,"Summer",284,81
"3938","Khulna",1990,"May","28.8","Khulna",22.47,89.32,22.85,89.567,"32994",36.3,21.5,"SWR",28.9,"Summer",261,80
"3939","Kutubdia",1990,"May","28.6","Chittagong",21.49,91.51,21.81666667,91.85,"32994",33.8,24,"ER",28.9,"Summer",206,83
"3940","M.court",1990,"May","28.8","Chittagong",22.52,91.6,22.867,92,"32994",35,21,"ER",28,"Summer",429,81
"3941","Madaripur",1990,"May","29.6","Dhaka",23.1,90.11,23.167,90.183,"32994",35.8,21.2,"CR w/o Dhaka",28.5,"Summer",214,76
"3942","Mongla",1990,"May",NA,"Khulna",22.28,89.36,22.467,89.6,"32994",35.7,22.3,"SWR",29,"Summer",NA,NA
"3943","Mymensingn",1990,"May","27.6","Dhaka",24.44,90.25,24.717,90.433,"32994",35.7,20.6,"CR w/o Dhaka",28.15,"Summer",NA,NA
"3944","Patuakhali",1990,"May","28.7","Barisal",22.2,90.2,22.33333333,90.33333,"32994",35.3,21.6,"SWR",28.45,"Summer",292,82
"3945","Rajshahi",1990,"May","28.1","Rajshahi",24.22,88.42,24.383,88.6,"32994",36.2,19.3,"NWR",27.75,"Summer",301,82
"3946","Rangamati",1990,"May","28","Chittagong",22.38,92.09,22.633,92.2,"32994",35.5,21.3,"ER",28.4,"Summer",365,79
"3947","Rangpur",1990,"May","27.3","Rangpur",25.44,89.16,25.733,89.233,"32994",35.2,20.8,"NWR",28,"Summer",354,83
"3948","Sandwip",1990,"May","28.8","Chittagong",22.29,91.26,22.483,91.417,"32994",33.5,22.5,"ER",28,"Summer",255,82
"3949","Satkhira",1990,"May","29.3","Khulna",22.43,89.05,22.717,89.083,"32994",36.6,21.2,"SWR",28.9,"Summer",176,76
"3950","Sitakundu",1990,"May","28.4","Chittagong",22.38,91.42,22.583,91.7,"32994",35,21.5,"ER",28.25,"Summer",NA,NA
"3951","Srimangal",1990,"May","27.1","Sylhet",24.18,91.44,24.3,91.73333333,"32994",36.8,20.5,"ER",28.65,"Summer",494,80
"3952","Sydpur",1990,"May",NA,"Rangpur",25.45,88.55,25.75,88.917,"32994",NA,NA,"NWR",NA,"Summer",NA,NA
"3953","Sylhet",1990,"May","27.2","Sylhet",24.54,91.53,24.9,91.883,"32994",35.3,20,"ER",27.65,"Summer",546,79
"3954","Tangail",1990,"May","27.5","Dhaka",24.15,89.56,24.25,89.933,"32994",35.5,20.5,"CR w/o Dhaka",28,"Summer",128,80
"3955","Teknaf",1990,"May","28.8","Chittagong",20.52,92.18,20.417,92.3,"32994",33.6,23.5,"ER",28.55,"Summer",203,77
"3956","Ambagan(Ctg)",1990,"June",NA,"Chittagong",22.13,91.48,22.35,91.817,"33025",NA,NA,"ER",NA,"Summer",NA,NA
"3957","Barisal",1990,"June","28.6","Barisal",23.43,90.22,22.717,90.367,"33025",39.4,22,"SWR",30.7,"Summer",386,89
"3958","Bhola",1990,"June","28.5","Barisal",22.41,90.39,22.683,90.65,"33025",34,24,"SWR",29,"Summer",358,89
"3959","Bogra",1990,"June","28.8","Rajshahi",24.51,89.22,24.85,89.367,"33025",35,22,"NWR",28.5,"Summer",378,87
"3960","Chandpur",1990,"June","28.9","Chittagong",23.14,90.42,23.267,90.7,"33025",34.6,22.5,"ER",28.55,"Summer",311,83
"3961","Chittagong (cv/mil)",1990,"June","28.3","Chittagong",22.21,91.49,22.267,91.817,"33025",34.5,23.2,"ER",28.85,"Summer",668,83
"3962","chuadanga",1990,"June",NA,"Khulna",23.39,88.49,23.65,88.8167,"33025",36.5,24.1,"NWR",30.3,"Summer",NA,NA
"3963","Comilla",1990,"June","28.2","Chittagong",23.26,91.11,23.433,91.183,"33025",34,23,"ER",28.5,"Summer",333,88
"3964","Cox`s bazar",1990,"June","27.7","Chittagong",21.27,91.58,21.433,91.967,"33025",34.4,24.5,"ER",29.45,"Summer",NA,NA
"3965","Dhaka/tejgaon (mil)",1990,"June","29.2","Dhaka",23.47,90.23,23.767,90.383,"33025",34.2,23.5,"Dhaka",28.85,"Summer",229,83
"3966","Dinajpur",1990,"June","28.9","Rangpur",25.39,88.41,25.65,88.683,"33025",36.4,22.4,"NWR",29.4,"Summer",355,84
"3967","Faridpur",1990,"June","29","Dhaka",23.36,89.51,23.617,89.85,"33025",34.4,22.4,"CR w/o Dhaka",28.4,"Summer",289,87
"3968","Feni",1990,"June","28.2","Chittagong",23.02,91.25,23,91.4,"33025",34.1,23.5,"ER",28.8,"Summer",545,83
"3969","Hatia",1990,"June","28.5","Chittagong",22.27,91.6,22.433,91.1,"33025",33.1,24.4,"ER",28.75,"Summer",466,87
"3970","Ishurdi",1990,"June","28.9","Khulna",24.09,89.2,24.15,89.033,"33025",34.5,23,"NWR",28.75,"Summer",277,85
"3971","Jessore (civ/mil)",1990,"June","29.3","Khulna",23.12,89.2,23.183,89.167,"33025",35.2,22.5,"SWR",28.85,"Summer",335,85
"3972","Khepupara",1990,"June","29","Barisal",21.59,90.14,21.983,90.233,"33025",33.6,23.5,"SWR",28.55,"Summer",317,86
"3973","Khulna",1990,"June","29.3","Khulna",22.47,89.32,22.85,89.567,"33025",36,22.4,"SWR",29.2,"Summer",261,86
"3974","Kutubdia",1990,"June","27.8","Chittagong",21.49,91.51,21.81666667,91.85,"33025",33,24.4,"ER",28.7,"Summer",995,88
"3975","M.court",1990,"June","28.7","Chittagong",22.52,91.6,22.867,92,"33025",34,24,"ER",29,"Summer",651,86
"3976","Madaripur",1990,"June","29.8","Dhaka",23.1,90.11,23.167,90.183,"33025",35,22.5,"CR w/o Dhaka",28.75,"Summer",253,81
"3977","Mongla",1990,"June",NA,"Khulna",22.28,89.36,22.467,89.6,"33025",35.3,23.8,"SWR",29.55,"Summer",NA,NA
"3978","Mymensingn",1990,"June","28.5","Dhaka",24.44,90.25,24.717,90.433,"33025",34.8,21.2,"CR w/o Dhaka",28,"Summer",NA,NA
"3979","Patuakhali",1990,"June","28.8","Barisal",22.2,90.2,22.33333333,90.33333,"33025",33.6,23.7,"SWR",28.65,"Summer",306,88
"3980","Rajshahi",1990,"June","29.2","Rajshahi",24.22,88.42,24.383,88.6,"33025",36.2,21.6,"NWR",28.9,"Summer",263,86
"3981","Rangamati",1990,"June","28","Chittagong",22.38,92.09,22.633,92.2,"33025",34.4,23.2,"ER",28.8,"Summer",388,82
"3982","Rangpur",1990,"June","28.4","Rangpur",25.44,89.16,25.733,89.233,"33025",35.5,21.5,"NWR",28.5,"Summer",393,86
"3983","Sandwip",1990,"June","28.5","Chittagong",22.29,91.26,22.483,91.417,"33025",32.1,24,"ER",28.05,"Summer",561,86
"3984","Satkhira",1990,"June","29.4","Khulna",22.43,89.05,22.717,89.083,"33025",36.1,23.4,"SWR",29.75,"Summer",212,83
"3985","Sitakundu",1990,"June","28.3","Chittagong",22.38,91.42,22.583,91.7,"33025",34.5,22.8,"ER",28.65,"Summer",NA,NA
"3986","Srimangal",1990,"June","27.9","Sylhet",24.18,91.44,24.3,91.73333333,"33025",34.7,23,"ER",28.85,"Summer",356,84
"3987","Sydpur",1990,"June",NA,"Rangpur",25.45,88.55,25.75,88.917,"33025",NA,NA,"NWR",NA,"Summer",NA,NA
"3988","Sylhet",1990,"June","27.5","Sylhet",24.54,91.53,24.9,91.883,"33025",36.3,22,"ER",29.15,"Summer",551,87
"3989","Tangail",1990,"June","28.7","Dhaka",24.15,89.56,24.25,89.933,"33025",34.2,22.5,"CR w/o Dhaka",28.35,"Summer",224,84
"3990","Teknaf",1990,"June","27.4","Chittagong",20.52,92.18,20.417,92.3,"33025",33.2,24.5,"ER",28.85,"Summer",1279,88
"3991","Ambagan(Ctg)",1990,"July",NA,"Chittagong",22.13,91.48,22.35,91.817,"33055",NA,NA,"ER",NA,"Monsoon",NA,NA
"3992","Barisal",1990,"July","27.8","Barisal",23.43,90.22,22.717,90.367,"33055",32.5,24.5,"SWR",28.5,"Monsoon",457,91
"3993","Bhola",1990,"July","27.7","Barisal",22.41,90.39,22.683,90.65,"33055",32,25,"SWR",28.5,"Monsoon",370,90
"3994","Bogra",1990,"July","28.3","Rajshahi",24.51,89.22,24.85,89.367,"33055",34,24.6,"NWR",29.3,"Monsoon",499,90
"3995","Chandpur",1990,"July","28.1","Chittagong",23.14,90.42,23.267,90.7,"33055",33.5,24.8,"ER",29.15,"Monsoon",421,86
"3996","Chittagong (cv/mil)",1990,"July","27.2","Chittagong",22.21,91.49,22.267,91.817,"33055",33.4,24.1,"ER",28.75,"Monsoon",1038,87
"3997","chuadanga",1990,"July",NA,"Khulna",23.39,88.49,23.65,88.8167,"33055",34.7,25,"NWR",29.85,"Monsoon",NA,NA
"3998","Comilla",1990,"July","27.5","Chittagong",23.26,91.11,23.433,91.183,"33055",33,24,"ER",28.5,"Monsoon",303,90
"3999","Cox`s bazar",1990,"July","26.8","Chittagong",21.27,91.58,21.433,91.967,"33055",32.4,23.6,"ER",28,"Monsoon",NA,NA
"4000","Dhaka/tejgaon (mil)",1990,"July","28.2","Dhaka",23.47,90.23,23.767,90.383,"33055",32.7,25,"Dhaka",28.85,"Monsoon",567,87
"4001","Dinajpur",1990,"July","28.5","Rangpur",25.39,88.41,25.65,88.683,"33055",33,23.8,"NWR",28.4,"Monsoon",479,86
"4002","Faridpur",1990,"July","28.3","Dhaka",23.36,89.51,23.617,89.85,"33055",33.8,23.5,"CR w/o Dhaka",28.65,"Monsoon",405,88
"4003","Feni",1990,"July","27.2","Chittagong",23.02,91.25,23,91.4,"33055",33.1,24.1,"ER",28.6,"Monsoon",972,87
"4004","Hatia",1990,"July","27.3","Chittagong",22.27,91.6,22.433,91.1,"33055",31.8,24.8,"ER",28.3,"Monsoon",281,90
"4005","Ishurdi",1990,"July","28.1","Khulna",24.09,89.2,24.15,89.033,"33055",33.5,24.6,"NWR",29.05,"Monsoon",422,87
"4006","Jessore (civ/mil)",1990,"July","28.3","Khulna",23.12,89.2,23.183,89.167,"33055",34,24.7,"SWR",29.35,"Monsoon",369,88
"4007","Khepupara",1990,"July","27.8","Barisal",21.59,90.14,21.983,90.233,"33055",32,24.6,"SWR",28.3,"Monsoon",1049,89
"4008","Khulna",1990,"July","28.3","Khulna",22.47,89.32,22.85,89.567,"33055",35,24.6,"SWR",29.8,"Monsoon",436,88
"4009","Kutubdia",1990,"July","26.9","Chittagong",21.49,91.51,21.81666667,91.85,"33055",31.2,24,"ER",27.6,"Monsoon",1340,92
"4010","M.court",1990,"July","27.6","Chittagong",22.52,91.6,22.867,92,"33055",31.5,25,"ER",28.25,"Monsoon",752,89
"4011","Madaripur",1990,"July","29","Dhaka",23.1,90.11,23.167,90.183,"33055",34,24.7,"CR w/o Dhaka",29.35,"Monsoon",457,84
"4012","Mongla",1990,"July",NA,"Khulna",22.28,89.36,22.467,89.6,"33055",34,24,"SWR",29,"Monsoon",NA,NA
"4013","Mymensingn",1990,"July","28.1","Dhaka",24.44,90.25,24.717,90.433,"33055",33.2,23.8,"CR w/o Dhaka",28.5,"Monsoon",NA,NA
"4014","Patuakhali",1990,"July","27.7","Barisal",22.2,90.2,22.33333333,90.33333,"33055",32,24.8,"SWR",28.4,"Monsoon",602,90
"4015","Rajshahi",1990,"July","28.3","Rajshahi",24.22,88.42,24.383,88.6,"33055",33.7,24.2,"NWR",28.95,"Monsoon",464,89
"4016","Rangamati",1990,"July","26.8","Chittagong",22.38,92.09,22.633,92.2,"33055",33.5,23.9,"ER",28.7,"Monsoon",659,87
"4017","Rangpur",1990,"July","28.5","Rangpur",25.44,89.16,25.733,89.233,"33055",34,24.7,"NWR",29.35,"Monsoon",306,87
"4018","Sandwip",1990,"July","27.3","Chittagong",22.29,91.26,22.483,91.417,"33055",31,24,"ER",27.5,"Monsoon",1007,91
"4019","Satkhira",1990,"July","28.4","Khulna",22.43,89.05,22.717,89.083,"33055",33.9,25.1,"SWR",29.5,"Monsoon",528,86
"4020","Sitakundu",1990,"July","27.2","Chittagong",22.38,91.42,22.583,91.7,"33055",32.4,24.2,"ER",28.3,"Monsoon",NA,NA
"4021","Srimangal",1990,"July","27.8","Sylhet",24.18,91.44,24.3,91.73333333,"33055",35,24.5,"ER",29.75,"Monsoon",203,83
"4022","Sydpur",1990,"July",NA,"Rangpur",25.45,88.55,25.75,88.917,"33055",NA,NA,"NWR",NA,"Monsoon",NA,NA
"4023","Sylhet",1990,"July","27.5","Sylhet",24.54,91.53,24.9,91.883,"33055",35,22.5,"ER",28.75,"Monsoon",596,87
"4024","Tangail",1990,"July","28.1","Dhaka",24.15,89.56,24.25,89.933,"33055",33.1,24.5,"CR w/o Dhaka",28.8,"Monsoon",327,86
"4025","Teknaf",1990,"July","27","Chittagong",20.52,92.18,20.417,92.3,"33055",31,24,"ER",27.5,"Monsoon",946,90
"4026","Ambagan(Ctg)",1990,"August",NA,"Chittagong",22.13,91.48,22.35,91.817,"33086",NA,NA,"ER",NA,"Monsoon",NA,NA
"4027","Barisal",1990,"August","28.7","Barisal",23.43,90.22,22.717,90.367,"33086",34,24,"SWR",29,"Monsoon",299,86
"4028","Bhola",1990,"August","28.5","Barisal",22.41,90.39,22.683,90.65,"33086",33.8,25,"SWR",29.4,"Monsoon",287,87
"4029","Bogra",1990,"August","29.2","Rajshahi",24.51,89.22,24.85,89.367,"33086",36,23.8,"NWR",29.9,"Monsoon",265,88
"4030","Chandpur",1990,"August","29.1","Chittagong",23.14,90.42,23.267,90.7,"33086",34.3,24.5,"ER",29.4,"Monsoon",177,81
"4031","Chittagong (cv/mil)",1990,"August","28.5","Chittagong",22.21,91.49,22.267,91.817,"33086",34.2,24,"ER",29.1,"Monsoon",115,81
